Reference: IERS Technical Note 35

Notes:

 (1)    ICRF Designations, constructed from J2000.0 coordinates with the format
                ICRF JHHMMSS.s+DDMMSS   or   ICRF JHHMMSS.s-DDMMSS
        They follow the recommendations of the IAU Task Group on Designations.

 (2)    IERS Designations, previously constructed from B1950 coordinates.
        The complete format, including acronym and epoch in addition to the
        coordinates, is
                IERS BHHMM+DDd   or   IERS BHHMM-DDd


Coordinates of 295 ICRF2 defining sources
------------------------------------------------------------------------------------------------------------------------------------------
 ICRF Designation     IERS Des.  Right Ascension     Declination         Uncertainty         Corr.   Mean   First    Last     Nb      Nb
        (1)              (2)         J2000.0           J2000.0         R.A.      Dec.        RA-Dc   MJD     MJD     MJD     sess.    del.
                                   h  m  s             o  '  "          s          "                  of observation span
------------------------------------------------------------------------------------------------------------------------------------------
ICRF J000435.6-473619  0002-478  00 04 35.65550384  -47 36 19.6037899  0.00001359 0.0002139   0.383  52501.0 49330.5 54670.7     28    129
ICRF J001031.0+105829  0007+106  00 10 31.00590186   10 58 29.5043827  0.00000491 0.0000930  -0.187  53063.9 47288.7 54803.7     29    559
ICRF J001101.2-261233  0008-264  00 11 01.24673846  -26 12 33.3770171  0.00000660 0.0000936  -0.183  52407.5 47686.1 54768.6     45    592
ICRF J001331.1+405137  0010+405  00 13 31.13020334   40 51 37.1441040  0.00000482 0.0000683  -0.139  51619.2 48434.7 54713.7     22   1083
ICRF J001611.0-001512  0013-005  00 16 11.08855479  -00 15 12.4453413  0.00000435 0.0001005  -0.235  50403.0 47394.1 51492.8     67    716
ICRF J001945.7+732730  0016+731  00 19 45.78641940   73 27 30.0174396  0.00000989 0.0000424  -0.050  49249.8 44343.6 54865.7    458  25038
ICRF J002232.4+060804  0019+058  00 22 32.44120914   06 08 04.2690807  0.00000439 0.0000956  -0.237  52705.8 47394.1 54880.7     42    800
ICRF J003824.8+413706  0035+413  00 38 24.84359231   41 37 06.0003032  0.00000499 0.0000613  -0.035  52262.4 49422.9 54887.7     18   1024
ICRF J005041.3-092905  0048-097  00 50 41.31738756  -09 29 05.2102688  0.00000278 0.0000428  -0.030  51323.1 44773.8 54816.7   1802  41482
ICRF J005109.5-422633  0048-427  00 51 09.50182012  -42 26 33.2932480  0.00000932 0.0001177   0.013  53857.8 52306.7 54907.7     31    315
ICRF J010245.7+582411  0059+581  01 02 45.76238248   58 24 11.1366009  0.00000523 0.0000414   0.009  52030.9 48720.9 54880.7   1864 236989
ICRF J010645.1-403419  0104-408  01 06 45.10796851  -40 34 19.9602291  0.00000376 0.0000455   0.016  52201.3 47640.2 54903.8   1175  11531
ICRF J010915.4-604948  0107-610  01 09 15.47520598  -60 49 48.4599686  0.00001744 0.0001750   0.108  53933.9 52780.7 54726.7     24    102
ICRF J011205.8+224438  0109+224  01 12 05.82471754   22 44 38.7863909  0.00000379 0.0000653  -0.007  51836.0 48434.7 54872.7     37   1851
ICRF J011327.0+494824  0110+495  01 13 27.00680344   49 48 24.0431742  0.00000597 0.0000727  -0.135  52989.4 49422.9 54781.7     20    759
